date,total_children_under_care,net_intake_7day_avg,children_in_cbp_custody,children_in_hhs_care
2025-08-24,2002,-5.285714285714286,21,1981
2025-08-17,2005,-5.714285714285714,14,1991
2025-08-18,2005,-5.285714285714286,20,1985
2025-08-27,2007,-4.142857142857143,19,1988
2025-08-25,2010,-4.714285714285714,30,1980
2025-08-26,2010,-3.857142857142857,21,1989
2025-08-19,2015,-5.857142857142857,35,1980
2025-08-28,2017,-4.571428571428571,33,1984
2025-08-13,2019,-6.571428571428571,22,1997
2025-08-21,2021,-6.0,49,1972
2025-08-14,2021,-7.0,27,1994
2025-08-20,2021,-4.142857142857143,38,1983
2025-08-11,2022,-6.571428571428571,23,1999
2025-08-10,2024,-6.142857142857143,18,2006
2025-08-12,2037,-6.285714285714286,38,1999
