date,total_children_under_care,children_in_cbp_custody,children_in_hhs_care,net_intake_kpi,net_intake_7day_avg,load_level
2023-12-20,11762,246,11516,-267,-198.57142857142858,Very High
2023-12-21,11603,228,11375,-320,-225.71428571428572,Very High
2023-12-19,11476,185,11291,-114,-170.57142857142858,Very High
2023-12-14,11399,157,11242,-195,-180.57142857142858,Very High
2023-09-19,11382,287,11095,-71,-125.14285714285714,Very High
2023-09-20,11374,310,11064,-117,-128.42857142857142,Very High
2023-12-13,11373,181,11192,-153,-166.14285714285714,Very High
2023-09-21,11352,285,11067,-218,-136.14285714285714,Very High
2023-12-25,11340,196,11144,-142,-224.14285714285714,Very High
2023-12-18,11337,188,11149,-200,-185.71428571428572,Very High
2023-12-28,11337,107,11230,-255,-224.71428571428572,Very High
2023-09-27,11321,304,11017,-120,-132.57142857142858,Very High
2023-12-27,11309,103,11206,-255,-216.85714285714286,Very High
2023-12-26,11299,82,11217,-220,-227.71428571428572,Very High
2023-09-26,11272,294,10978,-155,-128.85714285714286,Very High
2023-12-17,11268,176,11092,-331,-196.85714285714286,Very High
2023-12-12,11250,173,11077,-130,-146.71428571428572,Very High
2023-09-18,11229,337,10892,-94,-139.85714285714286,Very High
2023-10-05,11200,70,11130,-374,-232.0,Very High
2023-09-14,11190,353,10837,-182,-147.28571428571428,Very High
